PID,officesHeld,head_of_org,on_committee,gov_office
L5GF-S85,"Secretary, Boston Mycological Club, 1949-53; president, East Waltham Civic Association, 1952.",1,0,0
LT2D-Y6Y,"Treasurer, Harvard Club of Cleveland, 1930-35.",0,0,0
L8RS-57L,"Master in Chancery, 1938-43; town counsel of Hull, since 1939; town moderator, 1944-47; member School Committee, 1950-53.",0,0,0
L2R6-S2P,"Pioneer Club leader, 1928-31; director, since 1936, trustee, since 1934, president, 1936-38, Keene Y. M. C. A.; director, since 1929, trustee, since 1935, vice-president, since 1946, Cheshire County Y. M. C. A.; member Executive Committee, National Association Woolen Manufacturers, 1943; trustee, Elliot Community Hospital, 1947-49, Congregational Church, 1933-36; Boy Scout Cub master, 1944-47; treasurer, trustee of Trust Funds, Town of Swanzey, N. H., since 1934; New Hampshire chairman, Andover Alumni Fund, 1948; member Andover Alumni Council, 1950-53; county chairman, New Hampshire Children’s Aid Society, since 1947; president, Twin State Woolen Manufacturers Outing, 1947.",1,1,0
GSDB-ZL1,"Vestryman, since 1948, chairman Finance Committee, since 1949, Zion Episcopal Church; trustee, vice-president, Pathfinder, 193739; president, Men’s Club, 1936-37.",1,1,0
LD29-Y2P,"Member Board of Trustees, Bethesda Public Library Association",0,1,0
GSDQ-9LB,"Member, Board of Directors, Bureau of National Affairs, Inc., 1947-49; Secretary, Sales Executives Club of Washington, 1951-52; Chairman, Education Committee, SEC of Washington, 1952-53; Chairman, Building Fund Committee, All Souls Memorial Church, Washington, D. C.; member, Admissions Committee, Family and Child Welfare, 1952-53.",1,1,0
L161-T77,"Special Assistant to the attorney general in the Department of Justice, Washington, D. C., 1931-38; chairman of the Committee on the 176 ]",1,0,0
KHGG-9X2,"Director, Orinda Association, 1950; Moraga Del Rey Improvement Association, 1950-51.",1,0,0
GS66-B5Q,"Chancellor commander, Knights of Pythias, 1939.",0,0,0
GSDQ-38Y,"Director, Sommers Children’s Bureau since 1938 (vice. president since 1942); director, Jewish Aid Association, 1938-47; trustee, Temple Israel since 1939 (president, 1943-46); director and treasurer, Jewish Federation of St. Louis, 1943-50; director and treasurer, Jewish Child Welfare Association since 1944; director, Council House, 1951-32; director, Jewish Community Center Association, 1952; member various Community Chest Budget Committees, since 1944.",1,1,0
LYSL-H3L,"Member Medical Board, Charles T, Miller Hospital; medical director, Amherst H. Wilder Dispensary, Educational Therapy; medical consultant, Hudson Memorial Hospital (Wisconsin), Children’s Home Society, Gillette State Hospital for Crippled Children.",1,0,0
L12H-Y23,"President, Boston Chapter, American Statistical Association, 1948-49; treasurer, Unitarian Society of Wellesley Hills, 1949-52.",1,0,0
GS6C-96G,"President, Harvard-Yale-Princeton Club, 1951.",1,0,0
9VM2-X1F,"Mfember Board of Trustees, 1951-53, chairman, Music Committee, since 1951, First Unitarian Church of Los Angeles; chairman, Southern California Chapter, American Musicological Society, 195253",1,1,0
L7XL-7G2,"Chairman, Concord Cub Scouts, 1950-52, Concord Red Cross Fund Campaign 1947, Concord Community Chest Fund Campaign, 1948; member Concord Finance Committee, 1939-43; member Concord Road Commission, since 1949",1,0,0
LV4F-NHB,"Vice-president, Association for Symbolic Logic, 1950-53.",1,0,0
GSD3-2L6,"Member of vestry, St. Gile’s Episcopal Church, Upper Darby, Pa., 1936-40, Church of the Good Samaritan, Paoli, Pa. 1945-51; director, Upper Darby Family Association, 1937-41; president, Upper Darby Recreation Association, 1939-41; member Budget Committee, Community Fund of Philadelphia, 1939; president, 1949-52, vice-president, 1952-53, Pennsylvania Diocesan Assembly, Brotherhood of St. Andrew; member National Council, since 1948, member National Executive Committee, 1948-50, Brotherhood of St. Andrew, member Executive Council, Department of Missions, various committees, Episcopal Dio _ cese of Pennsylvania (currently); minority inspector, Board of Election, South District, Willistown Township, 1951-53.",1,0,0
GS6W-QNM,"Headmaster, The Newcastle School, Mt. Kisco, N. Y, 193335, The Bedford-Rippowam School, Bedford N. Y., 1938-46; treasurer, business administrator, St. George’s School, Newport, R. I., 1947-51; bursar, Phillips Academy, since 1951; director, American Red Cross, Bedford Chapter.",1,0,0
LT46-X82,"President, Troy Warehouse Corporation (now), Fitz Warehouse Corporation (now), North East Cold Storage Corporation (now), The Refrigeration Research Foundation, 1951-53.",1,0,0
LTTN-73P,"Instructor in surgery, Tufts College Medical School; member surgical staffs, several Boston and Greater Boston hospitals; member Massachusetts Committee on Trauma, American College of Surgeons.",0,0,0
LBQY-VX9,"Administrative vice-chairman, Districts Division, Community Fund, 1947, 1948; member Speakers Bureau, Community Fund.",1,0,0
LT4B-689,"Chairman, Cub Scouts, Publicity for Parent-Teachers Association.",1,0,0
GSD1-JQR,"Deputy attorney-general, State (Delaware) Tax Board, 193234; chief rent attorney, Office of Price Administration, for State of Delaware and part of South New Jersey, 1942-43. _ I'VE never had much Class esprit de corps in college or out, and I’m surprised that I am writing this and agreeably surprised that I anticipate attendance at the Reunion with so much pleasure.",0,0,0
K24Q-8F3,"Past president, Kiwanis Club of Cambridge.",1,0,0
LYGL-PLW,"Director, Gorton-Pew Fisheries, since 1948, member Schoo] Committee, Manchester, Mass., 1942-46, chairman, Pack Committe, Cub Scouts, Beverly Farms, 1950-52; member Executive Committee, By-Products Division, National Fisheries Institute, Washington, D. C, since 1947; member Industry Advisory Committees, O. P. S.",1,0,0
GMYT-Q73,"Board member, Washington, Pa., Crippled Children's Society, 1946-47; director, Lancaster Country Community Council, since 1952",1,0,0
L1TM-DTG,"Vice-presodent, director, Fidelity fund, Inc., 1936-40; Executive vice-President, director, Cromerll & Cabot, Inc., 1937-44; management Consultant, War Department, 1942-44; assistant to president, Food Machinery Corporation, San Jose, Calif., 1944-45; research fellow, Harvard University, 1946-48,; lecturer on general education and social relations. since 1948",1,0,0
L4S1-FGZ,"Member, Balumore City Council, 1947-51; board member, Baltimore Family and Children’s Society, 1935-43, American Association for the United Nations; trustee, The Park School, Baltimore; chairman, Maryland Volunteers for Stevenson 1952; lecturer in jurisprudence, ' University of Baltimore.",1,1,1
GSD3-MYZ,"President, Brandeis Zionist District, 1937-1939; chairman, the Hebrew School Board, 1949-50; member board of directors, 1947-49, 1952-53, member board of education, Temple Shalom.",1,1,0
27H8-PHW,"Examiner in American history, 1938-41; examiner and chief examiner in social studies, 1943-51, College Entrance Examination Board; president, New England Association of Social Studies Teachers, 1944-45, Southern Section, New Hampshire Social Studies Teachers Association, 1952-53; editor, New England Social Studies Bulletin, 1945-46; member Central Committee, School and College Study of General Education, Ford Foundation, 1952-53",1,0,0
GS6W-57F,"President, S. Klein (department store), New York City, 1944-46; Chairman, Board of Tax Appeals, Town of Harrison, Since 1948",1,0,0
LVPZ-H6W,"Secretary,Board of deacons, First Baptist church of nedham mass committeeman,Pack 3, Nedham Boy Scouts of America.",0,0,0
9HKV-LVM,"Consulting Physiologist, University of Texas Medical Branch Hospitals, Since 1949; acting chairman, Department of Physiology, 1949-51; member Faculty and Admissions Committee, University of Texas Medical Branch, since 1951; consultant, medical divison, Oak Ridge Institue of Nuclear Studies, Oak Ridge, Tenn.; consultant on problems on artifical respiration, National Research Council, Washington, 1951; disvussant, Third Conference on Renal Function, Josiah Macy, Jr., Foundation, N. Y., 1951; president, 1947-48, director, 1950-51, Galveston Little Theatre; speaker and debater, America First Committe, Chicago, 1939-41; permanent convention chairman, Galveston Country Restrict of Texas, Republician Party National Convention, July, 1952 (pledged for Dwight Eisenhower); delegate, Texas Republician Gubernational Convention, august, 1952",1,0,0
LCJ4-ZNP,"Treasurer, Adams Erickson, Inc., Since 1945; director, Boston Professional Hockey Association, Inc., since 1940; director, member Executive Comitee, Boston Garden Arena Corporation, Inc.; member Odd Lots Committee, Boston Stock Exchange",1,0,0
GS69-7Z1,"President, National Association of soft Water Service operators, 1949-50, Millburn Rotary Club, 1950-51, Millburn 4th of July Committee, 1953; chairman, Committee on Corrosion Research, national Association of Soft Water Service Operators, Currently.",1,0,0
2WHK-M77,"Executive vice-president, Women’s Naval Uniforms Inc., 1943-44, S. Klein on The Square Inc., 1946-47; vice-president, Lily of France Inc., 1948-52.",1,0,0
LH5D-98C,"President and director, Imperial Sugar Company, Fort Bend Utilities Company (Sugar Land), City Stevedoring Company (Galveston); director, Imperial Bank & Trust Company (Sugar Land); trustee, Sugarland Industries, Kempner Fund (Galveston); director, member Executive Committee, United States Cane Sugar Refiners’ Association.",1,1,0
GS63-Z6G,"Member, Boston City Council, October, 1942, to December, 1947; member, Boston School Committee, Jan. 1, 1948 to date; chairman, Boston School Committee, Jan. 1, 1952 to Dec. 31, 1952.",1,0,1
GS68-7PW,"President, Parlor Medical Club, 1939-40, MaimonedesMedical Club, 1952; secretary, Western Massachusetts Heart Association; Cardiologist, Springfield and Municipal Hospitals; assistant physician, Springfield Hospital chief, Western Massachusetts Cardiac Clinic; coordinator, Cardiac Evaluation Center",1,0,0
GS6Q-YNN,"Attending obstetrician and gynecologist, Lincoln and Beth David Hospitals, New York.",0,0,0
GS6H-BQC,"Chairman, Republican Town Committee, Sanford, Maine, 1938-39; president, Portland (Maine) Chapter, American Newspaper Guild, 1946.",1,0,0
LC8C-T9K,"Director, Prudential Fund Of Boston; trasure and secretary. New England Group Investmwnt Bankers Association; President, Bond Club of Boston, 1951-52, Board of Trustees of Dedham Country Day School, since 1950; member Vestry, St. Paul's Church, Dedham, MAss., 1942-52",1,1,0
L15D-R7K,"President, American Academy of Neurological Surgery, 1952-53; vice-president, Association of Nervous and Mental diseases, 1951-52; overseer, Harvard College, 1948-54; director, Yerkes Laboratories, Florida, 1951-53",1,0,0
GSDS-RX2,"Expedition leader, Second Economic Survey of Siam, 1934-35; research associate in anthropology, Peabody Museum, 1934-39; assistant curator of somatology, Peabody Museum, 1939-47.",0,0,0
GSDY-B7P,"Clinical instructor in surgery, College of Medicine, University of Cincinnati; clinician, General Surgery, O.P.D., Cincinnati General Hospital; attending surgeon, Jewish Hospital, assistant attending surgeon, Children’s Hospital.",0,0,0
GMV7-LK3,"Vice-president, St. Petersburg Area, Harvard Club of West Coast of Florida, 1951.",1,0,0
GS63-XSC,"President, Brookline Taxpayers’ Association, 1952, 1953; treasurer, Brookline Citizens’ Committee, Inc., 1952, 1953; member Town Meeting, Brookline, 1952-55.",1,0,0
LYTY-ZY9,"Director, Renard Linoleum and Rug Company, since 1932, Temple Shaare Emeth, St. Louis, 1929-32, Adult Education Council, St. Louis, since 1952, Council House, 1943-46, St. Louis Chapter, American Jewish Committee, since 1950, Jewish Federation of St. Louis, 1939-40, 1944-47; director and treasurer, Jewish Sanatorium, St. Louts, 1933-515 secretary, treasurer, second vice-president, first vice-president, St. Louis Country Day School Alumni Association, since 1945; trustee and treasurer, Mary Institute, since 1949; chairman, St. Louis Chapter, American Jewish Committee, 1947-50; member National Executive and General Committee, American Jewish Committee, since 1947; member Board of Governors, Greater St. Louis Community Chest, since 1949.",1,1,0
LT2X-QGT,"Trustee, Village Grosse Pointe Farms, Central Volunteer Committee; president, Detroit Creamery Realty Company; vice-president, director, Detroit Symphony Orchestra, Inc.; vice-president, trustee, Children’s Hospital of Michigan; director, United Foundation, U. S. 0. of Metropolitan Detroit, Hospital Trustees Committee of Michigan, United Community Services.",1,1,0
LVJH-JM6,"Vice-president, Sheraton Plaza Company; trustee, Copley Square Trust; treasurer, Fairhaven Estates, Inc.",1,1,0
LKQR-Q37,"Trustee, Robbins Library, Arlington, 1951-52, since 1952. pusLicarions: “Absenteeism-Management’s Problem,” with J. F. Scott; “Labor’s Response to Management,” other small articles.",0,1,0
LBQQ-8DW,"Chairman, Council of the Organization of American States, 1952; U. §. Delegate, Ninth International Conference of American States, Bogota, Colombia, 1948, adviser to U. S. Delegation, United Nations General Assembly, 1949-52; director, Office of Regional American Affairs, Dept. of State, 1949-51.",1,0,0
LD5P-J5P,"Vice-commodore, Norwalk Yacht Club; fleet captain, governor, Cruising Club of America; governor, Storm Trysail Club.",1,0,0
GS6W-MTK,"Chairman, Zoning Board of Appealls, Port Huron, 1948, Board of Trustees, First Congregational Church, 1951; trustee, Port Huron Hospital, since 1947",1,1,0
G9YQ-41K,"Treasurer, Thunderbolt, Georgia Parent Teachers Association, 1951-53.",0,0,0
GS63-C8P,"President, Maracaibo Chapter, 1942-43, honorary vice-president, Caracas Chapter, North American Society of Venezuela; president, Kensington-College View Citizens Association, Maryland, 1945-47.",1,0,0
GSD3-HZP,"Member, City of Cambridge School Committee, 1940-41; Varsity Soccer coach, Harvard, 1928-40; president, Cambridge Bar Association, 1948; past director, Cambridge Council, Boy Scouts of America, Cambridge Civic Association, Scituate Harbor Yacht Club.",1,0,0
GSDS-YM4,"Chairman, Prize Book Committee, Associated Harvard Clubs, 1947; member Town Council, Bloomfield, 1951-$23 representative, Connecticut State Legislature, 1953.",1,0,1
GSCZ-SKS,"Vice-president, director, Cummings Motor Sales, Inc., Newport, R. I.",1,0,0
LYKS-QWZ,"Grand Knight, 1934~35, financial secretary, 1942-44, Mt. Pleasant Council #98, Knights of Columbus.",0,0,0
GSDB-33K,"Dean, New London County Chapter, American Guild of Organists.",1,0,0
GM3X-SB6,"Member Wing Staff Voluntary Training Unit, U. S. Marine Corps, New York; member Board of Managers, New Jersey State Reformatory; member Board of Trustees, St. Bernard's School, Glad 1181 ] stone, N. J.,; member Morris County Board of Agriculture; governor,",1,1,0
LRG8-RPV,"Communications officer, Local Defense Council, 1942-45; com mittee member, Boy Scouts; director, Mahwah Savings and Loan Assosiation, since 1950.",1,0,0
LTLX-GZT,"Chairman, Board of Selectmen, Lincoln, since 1949; treasurer, Children’s Art Centre, Inc., since 1949, Boston Music School, Inc., since 1951; assistant treasurer, Federation of South End Settlements, since 1951; director, Cambridge Terminal Warehouse Company, since 1952, Elhide Company, since 1950.",1,0,0
LTW1-7VG,"Trustee, Canton Public Library, 1930-51, Shareholders’. Trust of Boston, since 1948; member, 1936-51, chairman, 1937-45, Canton School Committee; chairman, Budget Committee, Youth Agencies Group, Greater Boston Community Fund, 1942~50; trustee, member of Council, member of Finance Committee, Radcliffe College, 1935-50; treasurer, trustee, Wellesley College, 1942-50; treasurer, 1945-50, director and member Finance Committee, 1943-50, Perkins Institution and Massachusetts School for the Blind; trustee, member Finance Committee, Milton Academy, 1947-50; trustee, member Investment Committee, 1938-50, Incorporator, Suffolk Savings Bank for Seamen, and others; clerk, since 1930, assistant treasurer, 1940-48, treasurer, since 1948, Robert B. Brigham Hospital; treasurer, director, The Little House, Inc., since 1932, Home for Aged Men, since 1946; member of the corporation, New England Hospital for Women and Children, since 1934, Massachusetts General Hospital, since 1947, director, member of the corporation, Josiah Willard Hayden Recreation Center, since 1937; member, Executive Committee, Phillips Exeter Alumni Association; director, Canton Taxpayers Association, 1941-44, Atlantic, Gulf & West Indies 5. S., 1938-51, Carey, Baxter & Kennedy, 1942-51, Lone Star Cement Corporation, 1942-51, Mathieson Chemical Corporation, 1942-51, Second National Bank of Boston, 1942-51, Waltham Watch Company, 1933-49, Allied Research and Service Corporation, 1952, Insuranshares Certificates, Inc., since 1941; trustee, member Executive Committee, Consolidated Investment Trust, since 1947; director, member Executive Committee, since 1942; voting trustee, director, Texas Consolidated Oils; president, treasurer, director, Buffalo Creek Land Company, since 1951; captain, U. S. Olympic Hockey Team, 1932; head coach, Harvard Hockey Team, 1943-51; treasurer, Harvard Varsity Club, since 1939; director, secretary, Boston Madison Square Garden Club, since 1929.",1,1,0
L19L-NM7,"Vice-president, director, The Landers Corporation, since 1940; president, 1946-50, director, Infant Items, Inc, Fremont, Ohio; director, Fred Rudge, Inc, New York, since 1945, partner, Stabelan Chemical Company, Toledo, 1946-52; secretary, director, Toledo Discount Company, 1950-52; member Board of Public Affairs, Sylvania, Ohio, 1942-46.",1,0,0
GSDQ-11N,"Engineer-in-training, 1928-30, assistant resident engineer, 1930-37, resident engineer, 1937-40, executive assistant, 1940-49, partner, since 1949, Modjeski & Masters.",0,0,0
G99V-PJZ,"Chairman, Campaign and Services Committee of Michigan United Fund; director, W.F.Y.C., Inc. (radio station); secretary, director, Peninsula Asphalt and Construction Company; member General Committee of Refining, American Petroleum Institute; member Manufacturing Committee, Asphalt Committee, Western Petroleum Refiners Association.",1,0,0
GS69-528,"Legal editor, Trusts and Taxes, Banking Law Journal, Banker and Tradesman, 1939-50; member Tax and Trust Committees, Boston, Massachusetts, and American Bar Associations; member Educational Committee, American Institute of Banking, member Committee on Industries, Boston Chamber of Commerce.",0,0,0
GSD3-2QF,"Secretary, Holsum Bakery Company, Fort Wayne.",0,0,0
LTGC-L6P,"Assistant clinical professor of psychiatry, Univ. of California Medical School, since 1946; associate psychiatrist, Univ. of California Student Health Service, Berkeley, since 1946, psychiatrist, Univ. of California Student Health Service, San Francisco, since 1948; senior analyst, Medical Society of Analytical Psychology, since 1944; president, Medical Society of Analytical Psychology, 1951-52.",1,0,0
GS67-SX8,"President, P.T.A., East Bridgewater, Mass.; chairman, East Bridgewater branch, Red Cross, 1950-52, “On-to-Washington” committee (to raise money to send high school seniors on a trip to Washington, D. C.), 1952-53.",1,0,0
KLVF-VZC,"Chairman, San Diego Section, American Institute of Electrical Engineers, 1949; president, Electric Club of San Diego, 1949; director, San Diego Yacht Club, 1952.",1,0,0
LZBM-H8G,"Vice-president, 1951-52, director, 1950-52, American Society of Tool Engineers.",1,0,0
GSDR-4J2,"Graduate assistant, Massachusetts General Hospital, 1930, 1931; vice-president, business manager, Quincy Symphony Orchestra, 1941, 1942; secretary, South Shore District Dental Society, 1946, 1947; secretary-treasurer, 1947-49, president-elect, 1950-52, Omicrom Kappa Upsilon Dental Honorary Fraternity; president-elect, Harvard Dental Alumni Association, 1952-53; member Editorial Board, Harvard Dental Alumni Bulletin, 1947-53.",1,0,0
GS6Q-Y7N,"Editorial writer, Dakota Freie Presse, New Ulm, Minn., until 1933; member, editorial board, Journal of Air Law, 1931; lecturer in political science, Northwestern University, 1931-33, dozent (lecturer), Deutsche Hochschule fiir Politik, 1933-34; in German Government Service, 1934-37, 1938-45; secretary, Inter-Universities Committee, British Zone of Occupation, 1945-47; member, Foreign Affairs Committee, Central Association of German Expellees and Refugees, since 1952.",0,1,0
LRTL-MG3,"Treasurer, St. Luke’s Church, ‘Allston, Mass.",0,0,0
GMWC-WXJ,"Member Editorial Board, Romanic Review, since 1937; member Executive Councli, MLA, 1952-55; professeur, I'Ecole Libre des Hautes Etudes, New York.",0,0,0
GSDC-DCQ,"Member, Princeton, Mass, School Board, 1945-50; Commissioner, Muncipal Light Department, Princeton, 1944-50",0,0,0
M7BR-CV1,"Treasure, Scoresman Credit Union, Since 1940; President, Chicago Book Clinic ,1945-46; vestryman, Emmanuel Episcopal Church, since 1951; treasure, 1951, Secretary, 1953, Chicago Kiwanis Club; secretery, Kiwanis Youth Foundation, 1953",1,0,0
LYFH-TCP,"President, Staft, St. Joseph's Hospital, Savannah, 1951-52",1,0,0
LB6S-29T,"Assistant medical director, Metropolitan Life Insurance Com pany, New York City; assistant clinical professor of medicine, College of Physicians and Surgeons, Columbia University; visiting physician, Bellevue Hospital, New York City; assistant physician, Presbyterian Hospital, New York City. © ,",1,0,0
K15J-ZTP,"President, Ohio State University Chapter, Phi Beta Kappa; president, Columbus Latin Club, vice-president, council member, Ohio Classical Association.",1,0,0
GS6H-JNW,"Treasurer, Alumni Association of St. Paul’s School, 1946-50; commissioner for Cubbing, Boy Scouts of America, New York City, 1935-37; member, Executive Committee, Planned Parenthood Federation of America, New York, 1946-50; member, Executive Committee, Military Order of the World Wars, La Jolla Chapter, 1951; treasurer, Church of the Holy Innocents, West Orange, N. J., 1945-50; director, San Diego Chamber of Commerce, 1951; member, Executive Committee, La Jolla Town Council, 1951; treasurer, Mt. Soledad Memorial Association, Inc., since 1952.",1,1,1
KHPW-RFB,"President, American Youth Hostel, Amherst, 1947-49, Amherst Lions Club, 1945.",1,0,0
LYP6-MHD,"President, 1943—50, trustee, since 1943, Historical Society of Montgomery County, Pennsylvania, vestryman, St. John’s Episcopal Church, Norristown, since 1941; president, Norristown Art League, 1943-48; director, Norristown Public Library, since 1942, Norristown Y.M.C.A., 1936-51; assistant editor, 1939-1941, editor, 1942-1943, Montgomery County Law Reporter; solicitor, Montgomery County Prison Board, since 1945. :",1,1,0
L1HB-9QB,"President, Harvard Club of Houston, 1946.",1,0,0
M249-F1B,"Councillor, Engineering Societies of New England, 1942-44; vice-chairman, American Standards Association Sectional Committee on Acoustical Measurements and Terminology, 1951-53; member Executive Council, Acoustical Society of America, 1952-54.",1,0,0
9KBT-3NQ,"Secretary, Hospital Board; Scout master, Troop 160.",0,0,0
GS6Q-KJ9,"Secretary-treasurer, American Association of University Professors, Missouri Chapter, two years; secretary, Coachella Valley 843 ]",0,0,0
LX78-Z6M,"Director, Sagamore Manufacturing Company, Foster Spinning Company, B. M. C. Durfee Trust Company, American Mutual Liability Insurance Company, Fall River Savings Bank, Fall River Co-operative Bank, Fall River Gas Works Company, local charitable organizations; second vice-president, National Association of Cotton Manufacturers; vice-president, Community Fund of Greater Fall River (at present).",1,0,0
GS67-3M7,"President, Northeastern Products, Inc., 1939-52.",1,0,0
GSDB-QMH,"Chapter head, Kappa Nu Fraternity, 1927-28; president, National Council of Jewish Juniors, 1937-38; vice-president, Sentry Lodge, B'nai B'rith, 1938-39; member Board of Directors, Boston Center for Adult Education, 1950-54, Brookline-Brighton Community Center, 1950553 civic councillor-at-large, New Boston Committee, 1951-54; national chairman, Concessions Committee, Theatre Owners of America, Inc., 1953:",1,1,0
GS6X-K8Z,"Chief, Department of Obstetrics and Gynecology, Quincy City Hospital, Milton Hospital; consultant in Obstetrics and Gynecology, South Shore Hospital; Norfolk County Hospital; president, Harvard Club of Quincy, 1951-53.",1,0,0
LX78-Z6B,"Trustee, clerk, Union Savings Bank; director, Foster Spinning Company; Community Fund of Greater Fall River; treasurer, Children’s Home of Fall River; First Congregational Society; Eisenhower-Nixon Citizens Committee of Fall River; secretary, Fall River Bar Association; president, Harvard Club of Fall River.",1,1,0
GSDS-MC4,"Treasurer and director, Oswego County Council, Boy Scouts of America; treasurer, Fulton Chapter, american Red Cross, Civic Music Association, Fulton, N. Y.; vice-chairman, Economic Round Table of San Francisco, 1952",1,0,0
L1WB-1JN,"Assistant editor, Forum & Century, 1931-34; executive editor, New Yorker, 1934-35; managing editor, American Mercury, 1935; assistant director, WPA Federal Writers’ Project, New York, 1935-36; editorial consultant, Reader’s Digest, 1936; associate editor, Scribner's Magazine, 1936-39; art director, House Beautiful, 1940-42, Architectural Record, 1942; consulting art director, American Smelting & Refining Company, General Electric Company, Shell Oil Company, Standard Oil Company (New Jersey), and others; instructor in Reproduction Processes, Pratt Institute.",0,0,0
LVHG-6V5,"Trustee, Illinois Wesleyan University, since 1947, Withers Public Library, 1942-52; member Advisory Council, Illinois State Normal University, since 1945; member Bloomington City Planning Commission; chairman, Bloomington Community Chest, 1941; president, Bloomington Country Club, 1940, Unitarian Church, 1939, Illinois Daily Newspaper Markets, 1952; director, Bloomington Y. M. C. A, since 1937.",1,1,0
LLCD-2CG,"Chairman, Rowing Committee, Cambridge Boat Club (currently); vice-president, New England Amateur Rowing Association (currently).",1,0,0
GS69-JZD,"President, Credit Mens Club of the Fur Industry, 1935.",1,0,0
MN9C-QZJ,"Director, Harvard Musical Association, since 1949, Vice-president since 1951",1,0,0
9MHL-MDF,"Professor, 1937-43, dean, 1940-43, University of Buffalo School of Law; professor of law, Harvard Law School, since 1945.",1,0,0
GSCY-RTV,"Treasurer, S. Robert Stone, Inc., 1940-50, Fisher Manufacturing Company, Inc., 1943-50.",0,0,0
GS6V-3S8,"Director, Garfield Memorial Hospital, Washington, D. C., Green Acres School, Rockville, Md.",1,0,0
L1YF-FST,"Member of board of trustees, Daniel Webster Council Boy Scouts of New Hampshire, 1940-46, silver beaver award, 1946; chaifman, Town & Country Church Committee, New Hampshire Congregational Christian Conference, 1944-47, Town and Country Church Committee, New Hampshire Council of Churches, 1945; adult advisor, State Youth Program, New Hampshire Congregational Christian Con 1056 ] ",0,1,0
GS64-6FM,"Member Executive Committee, Kew Gardens American Labor Party; County Committeeman, 1951-53; candidate, State Committee and Judicial Convention, 1952.",0,0,0
LDZ5-D7L,"City attorney, 1939-41; master in Chancery, 1942-44; state representative, 1945-51, State senator, since 1951, Illinois; member since 1942, president, 1952-53, Freeport Park Board; member Board, Y.M.C.A,, King’s Daughters Children’s Home, Youth Recreational Center; member Vestry, Grace Episcopal Church; director, Rock City Bank, Lena State Bank (at present); president, Stephenson County Bar Association, 1949.",1,0,1
LTMY-97L,"Director, Southern Marin Recreation Center, since 1948; coordinator, Belvedere City Planning Commission, since 1951.",1,0,0
9XTY-R26,"President, Province of Quebec Hotel Association; vice-president, Hotel Association of Canada; director, Montreal Tourist and Convention Bureau; member Cost and Management Institute, Canada.",1,0,0
GS6Q-H93,"Commander, Post No. 15, American Legion, Lawrence, clerk, Lawrence Community Chest; director, Bon Secours Hospital Guild.",1,0,0
GS6F-SP3,"Resident physician, Los Angeles City Maternity Service, 1934; resident in obstetrics and gynecology, Los Angeles County General Hospital, 1934-37; instructor, Department of Obstetrics and Gynecology, University of Southern California Medical School; associate senior attending obstetrician and gynecologist, Cedars of Lebanon Hospital; attending obstetrician and gynecologist, Los Angcles County General Hospital, Queen of the Angels Hospital, Temple Hospital.",0,0,0
LT3H-G1L,"Instructor in internal medicine, St. Louis University School of Medicine; associate physician, Jewish Hospital; president, 1948-50, cardiologist, since 1937, Faith Hospital; District Deputy Grand Consul, Phi Delta Epsilon Medical Fraternity, since 1950; delegate, St. Louis Medical Society, 1952.",1,0,0
GS6W-4GC,"Master, Major General Henry Knox Lodge, 1936-37, and 3d Lodge of Instruction, A.F. & A.M., Boston.",0,0,0
LLHB-69X,"Director, Norton Company, Worcester, since 1937, New York, New Haven & Hartford Railroad, since 1948, Liberty Mutual Insurance Company, since 1949, Mutual Boiler & Machinery Insurance Company, since 1951, Boston Manufacturers Mutual Fire Insurance Company, since 1947, Worcester County Trust Company, since 1943, Boys Club of Worcester, since 1940; president, Norton Company, Worcester, since 1946, Community Chest of Worcester, since 1952; trustee, Memorial Hospital, Worcester, since 1942, Bancroft School, Worcester, 1952-54, People’s Savings Bank, Worcester, since 1940, Worcester Art Museum, since 1952, Worcester Natural History Society, since 1950, Worcester Trade High Schools, 1951-54.",1,1,0
GSD3-J4F,"President, staff of Glover Memorial Hospital, Needham, 1949-50.",1,0,0
G9HN-ZQX,"President or treasurer, Fall River Curtain Company, Inc, 1935-47; treasurer, Somerset Investing Corporation, since 1938; member, Economic Stability Committee, N.A.M., 1946; member, Airport Commission, May 28, 1946, to April 28, 1952; director, Society of Friends of Touro Synagogue, Newport, R. I., since 1946, Red Cross Fund campaign chairman, 1947; treasurer and director, Attleboro Realty & Trading Corp., 1948-51; president, 1948 Community Fund of Greater Fall River, Inc.; former national vice-chairman of Joint Defense Appeal for many years, executive committee member and board of directors member, American Red Cross; member, Fall River Jewish Council; member executive committee and board of directors, Fall River Boys Club, Massasoit Council Boy Scouts of America; member of board, National Board of Joint Distribution; member of board, Jewish Home for the Aged; former vice-president and director, Temple Beth-El; former president and director, Union Plate & Wire Company, Acleboro, Mass.; member, Logast Syndicate, since 1950; director, Loesers, Inc., 1950-52, Aspinock Corp., 1951-52, Ambrook Industries, Inc., since 1952.",1,1,0
LVPW-BFF,"Medical director, Tennessee-Virginia Cerebral Palsy Center; president, Medical Staff, Community Hospital; chairman, Pediatric Department, Community Hospital; assistant scoutmaster, Troop 54, Kingsport; member Advisory Board, Girl Scout Council, Salvation Army, Kingsport.",1,0,0
