unitid,fice,pubst,pbalph,"system","status","instnm","addr","stabbr","zip","gentele","cnty","congdist","city","countynm","affil","calsys","hloffer",pr2yr,prlib,prtea,prprof,enrolmnt,geost,oereg,obereg,"race",control,type,sex,lgrnt,survey,ss_occup,sum2yr,sum4yr,sumpos,ss_other,es_occup,eve2yr,eve4yr,evepos,es_other,excntl,citysi,admreq,"estmoyr","fwrkmoyr","fdgrmoyr",prtfu,pbtfui,pbtfuo,prtfg,pbtfgi,pbtfgo,roomamt,boardamt,acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_nurs,acc_ort,acc_chem,regaccrd
"122658","1280","14","2240","","5","SAN JOAQUIN DELTA COLLEGE","5151 PACIFIC AVENUE","CA","95207","2094782011","077","","STOCKTON","SAN JOAQUIN","14","1","03","1","0","0","0","7019232","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","3","1","091935","091935","051937","","1380","1380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","9"
"122728","1281","14","2250","","5","SAN JOSE BIBLE COLLEGE","P O BOX 1090","CA","95108","4082939058","085","","SAN JOSE","SANTA CLARA","78","2","04","0","0","0","1","2000210","14","4","8","5","2","2","3","0","1","0","0","1","0","0","0","0","1","0","0","3","6","2","091939","091939","061943","1680","","","","","","630","630","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122746","1282","14","2290","W","E","SAN JOSE CITY COLLEGE","2100 MOORPARK AVENUE","CA","95128","4082982181","085","","SAN JOSE","SANTA CLARA","14","1","03","1","0","0","0","7012493","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","6","1","081921","081921","061922","","10","2170","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"121619","1284","14","2350","","5","SANTA ANA COLLEGE","17TH AT BRISTOL","CA","92706","7148353000","059","","SANTA ANA","ORANGE","14","1","03","1","0","0","0","7015104","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","1","0","0","1","6","6","1915","091915","061917","","0","2130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"122889","1285","14","2360","","5","SANTA BARBARA CTY COLLEGE","721 CLIFF DRIVE","CA","93109","8059650581","083","","SANTA BARBARA","SANTA BARBARA","14","1","03","1","0","0","0","6007987","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","3","1","091908","091908","061909","","10","1710","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","9"
"122977","1286","14","2370","","5","SANTA MONICA COLLEGE","1900 PICO BOULEVARD","CA","90405","2134505150","037","","SANTA MONICA","LOS ANGELES","14","1","03","1","0","0","0","7017439","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","7","1","091929","091929","061930","","30","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"123013","1287","14","2380","","5","SANTA ROSA JUNIOR COLLEGE","1501 MENDOCINO AVENUE","CA","95401","7075274011","097","","SANTA ROSA","SONOMA","14","1","03","1","0","0","0","7016877","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","2","1","1918","1918","1919","","32","1760","","","","1050","500","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"124283","1288","14","2390","","5","THEO AT CLAREMONT,SCH OF","1325 N COLLEGE AVENUE","CA","91711","7146263521","037","","CLAREMONT","LOS ANGELES","78","1","08","0","0","0","1","2000216","14","4","8","5","2","2","3","0","1","0","0","0","1","0","0","0","0","1","0","3","7","5","1885","1885","1889","","","","3000","","","990","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"123299","1289","14","2400","","5","SHASTA COLLEGE","1065 N OLD OREGON TRAIL","CA","96099","9162413523","089","","REDDING","SHASTA","14","1","03","1","0","0","0","7010546","14","4","8","5","1","3","3","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","011948","091950","061951","","16","1650","","","","720","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"123341","1290","14","2410","","5","SIERRA COLLEGE","5000 ROCKLIN ROAD","CA","95677","9166243333","061","","ROCKLIN","PLACER","14","1","03","1","0","0","0","6007702","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","4","1","1914","1914","1916","","10","1530","","","","1041","818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"123457","1291","14","2420","","5","SIMPSON COLLEGE","801 SILVER AVENUE","CA","94134","4153347400","075","","SAN FRANCISCO","SAN FRANCISCO","34","4","06","0","1","1","1","2000285","14","4","8","5","2","2","3","0","1","0","0","1","1","0","0","0","1","1","0","3","8","2","1921","1921","1923","2150","","","2140","","","320","1100","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"123563","1292","14","2430","","5","SOLANO COMMUNITY COLLEGE","P O BOX 246","CA","94585","7078647000","095","","SUISUN CITY","SOLANO","14","1","03","1","0","0","0","6008375","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","3","1","1945","091945","061947","","10","1530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"123651","1293","14","2440","","5","SOUTHERN CAL COLLEGE","55 FAIR DRIVE","CA","92626","7145563610","059","","COSTA MESA","ORANGE","27","4","04","0","1","1","0","3000676","14","4","8","5","2","2","3","0","1","0","0","1","0","0","0","0","1","0","0","3","5","2","1920","1920","1923","2716","","","","","","726","1034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","11"
"123800","1294","14","2470","","5","SOUTHWESTERN COLLEGE","900 OTAY LAKES ROAD","CA","92010","7144216700","073","","CHULA VISTA","SAN DIEGO","14","1","03","1","0","0","0","7011596","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","5","1","021961","091961","061963","","8","1632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"123970","1295","14","2480","","5","STHWSTN U SCHOOL OF LAW","675 S WESTMORELAND AVE","CA","90005","2137386700","037","","LOS ANGELES","LOS ANGELES","21","1","05","0","0","0","1","4001568","14","4","8","5","2","2","3","0","1","0","0","0","0","0","0","0","0","0","0","2","8","5","1911","1911","1913","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"113704","1296","14","1000","","5","DOMINICAN SCH PHIL & THEO","2401 RIDGE ROAD","CA","94709","4158492030","001","","BERKELEY","ALAMEDA","30","2","06","0","0","0","1","1000078","14","4","8","5","2","2","3","0","1","0","0","0","0","0","0","0","0","0","0","3","7","4","021932","061933","061934","1500","","","1800","","","1350","2700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"122223","1299","14","2050","","5","SAINT JOHN'S COLLEGE","5118 EAST SEMINARY ROAD","CA","93010","8054822755","111","","CAMARILLO","VENTURA","30","1","06","0","1","0","1","2000204","14","4","8","5","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","3","091939","091939","061940","2400","","","2400","","","375","375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"123554","1302","14","2060","","5","SNT MARY'S COLLEGE OF CAL","SAINT MARY'S COLLEGE","CA","94575","4153764411","013","","MORAGA","CONTRA COSTA","30","4","06","0","1","1","1","4002451","14","4","8","5","2","2","3","0","1","0","0","0","1","0","0","0","1","1","0","3","7","3","071863","1868","1872","3982","","","3000","","","960","1173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"123545","1303","14","2070","","5","SAINT PATRICK'S COLLEGE","P O BOX 151","CA","94042","4159679501","081","","MOUNTAIN VIEW","SANTA CLARA","30","2","04","0","1","0","1","1000044","14","4","8","5","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","2","1898","1898","1902","1800","","","","","","350","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"243744","1305","14","2490","","5","STANFORD UNIVERSITY","","CA","94305","4154972300","085","","STANFORD","SANTA CLARA","21","2","08","0","1","0","1","7013308","14","4","8","5","2","1","3","0","1","0","0","1","1","0","0","0","0","0","0","2","5","3","1885","1891","061892","6285","","","6285","","","1123","1513","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","1","","","","11"
"123925","1306","14","2520","K","C","STATE CTR CC DIST SYS OFF","1525 EAST WELDON AVENUE","CA","93704","2092260720","019","","FRESNO","FRESNO","","","","0","0","0","0","0","14","","","7","0","7","0","","1","0","0","0","0","0","0","0","0","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114789","1307","14","2530","K","E","FRESNO CITY COLLEGE","1101 UNIVERSITY AVENUE","CA","93741","2094424600","019","","FRESNO","FRESNO","14","1","03","1","0","0","0","7014051","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","3","1","1910","1910","1912","","5","1389","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"117052","1308","14","2540","K","E","KINGS RIVER CMTY COLLEGE","995 NORTH REED","CA","93654","2096383641","019","","REEDLEY","FRESNO","14","1","03","1","0","0","0","5002759","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","3","2","071926","091926","061928","","10","1389","","","","680","1180","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"124113","1309","14","2550","","5","TAFT COLLEGE","29 EMMONS PARK DRIVE","CA","93268","8057634282","029","","TAFT","KERN","14","1","03","1","0","0","0","4001038","14","4","8","5","1","3","3","0","1","0","1","1","0","0","0","1","1","0","0","1","3","6","091922","091922","061924","","0","1690","","","","320","1020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"119678","1310","61","30","","5","NAVAL POSTGRADUATE SCHOOL","","CA","93940","4086462411","053","","MONTEREY, CALIFORNIA","MONTEREY","11","2","08","0","1","0","1","4001257","14","5","0","6","1","2","3","0","1","0","0","0","0","0","0","0","0","0","0","1","3","5","071909","071909","061910","","","","","0","0","800","1180","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"124557","1311","14","2580","L","4","CAL SYSW ADMIN CEN OFF, U","2200 UNIVERSITY AVENUE","CA","94720","4156426000","001","","BERKELEY","ALAMEDA","00","","","0","0","0","0","0","14","4","8","7","1","7","3","","1","0","0","0","0","0","0","0","0","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110635","1312","14","2590","L","8","CAL-BERKELEY,U OF","","CA","94720","4156426000","001","","BERKELEY","ALAMEDA","12","2","08","0","1","1","1","8030462","14","4","8","5","1","1","3","1","1","0","0","1","0","0","0","0","0","0","0","1","7","3","1868","1870","1870","","766","3155","","826","3226","800","1560","1","","","","","","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","1","1","","","","1","","","","","","","","1","","","","","1","","","","","11"
"110644","1313","14","2600","L","9","CAL-DAVIS,U OF","","CA","95616","9167521011","113","","DAVIS","YOLO","12","2","08","0","1","1","1","7017939","14","4","8","5","1","4","3","1","1","0","0","1","1","0","0","0","0","0","0","1","4","3","1905","1908","1911","","769","3170","","808","3208","1000","990","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","11"
"110653","1314","14","2620","L","9","U OF CAL-IRVINE","","CA","92717","7148335011","059","","IRVINE","ORANGE","12","2","08","0","1","1","1","7010033","14","4","8","5","1","4","3","2","1","0","0","1","0","0","0","0","0","0","0","1","5","3","1964","1965","1965","","768","3168","","828","3228","1535","882","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","11"
"110662","1315","14","2630","L","9","CAL-LOS ANGELES,U OF","405 HILGARD AVENUE","CA","90024","2138254321","037","","LOS ANGELES","LOS ANGELES","12","2","08","0","1","1","1","8032960","14","4","8","5","1","1","3","2","1","0","0","1","0","0","0","0","0","0","0","1","8","2","1919","1919","1923","","759","3159","","807","3207","683","1114","1","","","","","1","1","","","","1","","","","1","","","1","","","","","","","","","","","1","","1","","","","","","1","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","1","","","1","","","","","","","11"
"110671","1316","14","2640","L","9","CAL-RIVERSIDE,U OF","900 UNIVERSITY AVENUE","CA","92521","7147871012","065","","RIVERSIDE","RIVERSIDE","12","2","08","0","1","1","1","5004619","14","4","8","5","1","4","3","1","1","0","0","1","1","0","0","0","0","0","0","1","6","3","1954","1954","1955","","774","3174","","810","3210","788","963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"110680","1317","14","2650","L","9","CAL-SAN DIEGO,U OF","","CA","92093","7144522230","073","","LA JOLLA","SAN DIEGO","12","2","08","0","1","0","1","7011159","14","4","8","5","1","4","3","2","1","0","0","1","0","0","0","0","0","0","0","1","5","3","1912","1912","1919","","741","3141","","783","3183","890","1380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","11"
"110699","1319","14","2660","L","9","CAL-SAN FRANCISCO,U OF","THIRD AVE AND PARNASSUS","CA","94143","4156669000","075","","SAN FRANCISCO","SAN FRANCISCO","12","2","08","0","0","0","1","5003812","14","4","8","5","1","4","3","0","1","0","0","1","1","0","0","0","0","0","0","1","8","4","1864","1864","1864","","782","3182","","842","3242","891","","","","","","","","","","","1","","","1","","1","","1","","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","11"
"110705","1320","14","2670","L","9","CAL-SANTA BARBARA,U OF","","CA","93106","8059612311","083","","SANTA BARBARA","SANTA BARBARA","12","2","08","0","1","1","1","7014785","14","4","8","5","1","4","3","2","1","0","0","1","0","0","0","0","1","0","0","1","3","3","1898","1898","1900","","860","3260","","886","3286","986","1069","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"110714","1321","14","2680","L","9","CAL-SANTA CRUZ,U OF","","CA","95064","4084290111","087","","SANTA CRUZ","SANTA CRUZ","12","2","08","0","1","0","0","6006085","14","4","8","5","1","4","3","0","1","0","0","1","0","0","0","0","0","0","0","1","2","3","1962","1965","1967","","831","3231","","891","3291","1300","920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"121691","1322","14","2720","","5","REDLANDS,UNIVERSITY OF","1200 EAST COLTON AVENUE","CA","92373","7147932121","071","","REDLANDS","SAN BERNARDINO","21","4","06","0","1","1","1","5003207","14","4","8","5","2","2","3","0","1","0","0","1","1","0","0","0","1","1","0","2","5","3","091907","091909","061910","5000","","","5000","","","1160","940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","11"
"122612","1325","14","2740","","5","SAN FRANCISCO,U OF","2130 FULTON STREET","CA","94117","4156666886","075","","SAN FRANCISCO","SAN FRANCISCO","30","4","08","0","1","1","1","6006339","14","4","8","5","2","2","3","0","1","0","0","0","1","0","0","0","1","0","0","3","8","3","101855","091859","061863","3850","","","2790","","","544","544","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","11"
"122931","1326","14","2750","","5","SANTA CLARA,UNIVERSITY OF","","CA","95053","4089844256","085","","SANTA CLARA","SANTA CLARA","30","2","08","0","1","1","1","6006718","14","4","8","5","2","1","3","0","1","0","0","1","1","0","0","0","0","1","0","3","5","3","051851","051851","061857","3990","","","2700","","","1278","897","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","11"
"123961","1328","14","2760","","5","SOUTHERN CALIFORNIA,U OF","UNIVERSITY PARK","CA","90007","2137432311","037","","LOS ANGELES","LOS ANGELES","21","1","08","0","1","1","1","8026902","14","4","8","5","2","1","3","0","1","0","0","1","1","0","0","0","1","1","0","2","8","3","091880","101880","061884","5310","","","5310","","","900","1590","1","","","","1","","1","","","1","","","1","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","1","","","1","","1","","","","","","","","","","","","","1","","","","","","1","","1","","1","","","1","","","1","","1","","","","","","","","","","11"
"120883","1329","14","2710","","5","PACIFIC,UNIVERSITY OF THE","3601 PACIFIC AVENUE","CA","95211","2099462011","077","","STOCKTON","SAN JOAQUIN","21","4","08","0","1","1","1","6006016","14","4","8","5","2","1","3","0","1","0","0","1","1","0","0","0","0","0","0","2","3","3","071851","091852","061858","5877","","","5802","","","912","1630","1","","","","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","11"
"125028","1334","14","2820","T","E","VENTURA COLLEGE","4667 TELEGRAPH ROAD","CA","93003","8056423211","111","","VENTURA","VENTURA","13","1","03","1","0","0","0","7012179","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","3","6","081925","081925","061926","","5","1440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"125091","1335","14","2830","","5","VICTOR VALLEY COLLEGE","P O DRAWER 00","CA","92392","7142454271","071","","VICTORVILLE","SAN BERNARDINO","14","1","03","1","0","0","0","5003613","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","5","6","021960","091961","061962","","0","1680","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","9"
"1336","1336","14","2870","M","6","WEST COAST U MAIN CAMPUS","440 SHATTO PLACE","CA","90020","2134874433","037","","LOS ANGELES","LOS ANGELES","21","3","06","0","0","0","1","3000873","14","4","8","5","2","2","3","0","1","0","1","1","1","0","0","1","1","1","0","2","8","2","1909","1938","1939","2820","","","2592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"125213","1337","14","2880","M","7","W COAST U ORANGE CO CTR","550 SOUTH MAIN STREET","CA","92668","7149532700","059","","ORANGE","ORANGE","21","3","06","0","0","0","1","3000549","14","4","8","5","2","2","3","0","1","0","1","1","1","0","0","1","1","1","0","2","5","2","1963","1963","1966","2820","","","2592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"125499","1338","14","2990","S","E","WEST VALLEY COLLEGE","14000 FRUITVALE AVENUE","CA","95070","4088672200","085","","SARATOGA","SANTA CLARA","14","1","03","1","0","0","0","7015042","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","5","2","041963","091964","061965","","20","2100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"210331","1339","47","430","","5","WESTERN BAPTIST COLLEGE","5000 DEER PARK DRIVE S E","OR","97302","5035818600","047","","SALEM","MARION","54","2","04","0","1","1","1","2000394","47","4","8","5","2","2","3","0","1","0","1","1","0","0","0","1","1","0","0","3","2","2","1936","1936","1940","2790","","","","","","675","1080","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7"
"1340","1340","14","2890","","X","WSTN STATES COLLEGE ENGR","970 W MANCHESTER AVENUE","CA","90301","2137763904","037","","INGLEWOOD","LOS ANGELES","21","3","04","0","1","0","0","1000114","14","4","8","F","2","2","3","0","0","0","1","1","0","0","0","1","1","0","0","2","7","2","071946","111956","091959","1944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125727","1341","14","2950","","5","WESTMONT COLLEGE","955 LA PAZ ROAD","CA","93108","8059695051","083","","SANTA BARBARA","SANTA BARBARA","21","4","04","0","1","1","0","4001037","14","4","8","5","2","2","3","0","1","0","0","1","0","0","0","0","0","0","0","2","3","3","071940","091940","061941","4280","","","","","","1050","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"125763","1342","14","3000","","5","WHITTIER COLLEGE","13406 E PHILADELPHIA ST","CA","90608","2136930771","037","","WHITTIER","LOS ANGELES","21","4","08","0","1","1","1","4001617","14","4","8","5","2","2","3","0","1","0","0","1","1","0","0","0","1","1","0","2","7","3","121901","091901","061904","3856","","","3900","","","890","850","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","11"
"125897","1343","14","3010","","5","WOODBURY UNIVERSITY","1027 WILSHIRE BOULEVARD","CA","90017","2134828491","037","","LOS ANGELES","LOS ANGELES","21","2","06","0","1","0","1","4001410","14","4","8","6","2","2","3","0","1","0","0","1","1","0","0","0","1","1","0","2","8","2","071884","071884","011885","3048","","","2500","","","1100","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11"
"126119","1344","14","3050","","5","YUBA COLLEGE","2088 NORTH BEALE ROAD","CA","95901","9167427351","115","","MARYSVILLE","YUBA","14","1","03","1","0","0","0","6008068","14","4","8","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","1","091927","091927","061928","","0","1680","","","","480","1120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"126182","1345","15","10","","5","ADAMS STATE COLLEGE","","CO","81102","3035897121","003","","ALAMOSA","ALAMOSA","12","1","06","0","1","1","0","4002485","15","4","7","5","1","2","3","0","1","0","1","1","1","0","0","1","1","1","0","1","1","2","061921","061925","081926","","754","3052","","780","3194","740","960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","5"
